rank,codepoint_hex,char_display,count,fraction_of_total,unicode_major_category,unicode_bucket,unicode_name
732,U+30BF,タ,81,1.07424617e-07,Lo,letter,KATAKANA LETTER TA
733,U+6C57,汗,81,1.07424617e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-6C57
734,U+C778,인,81,1.07424617e-07,Lo,letter,HANGUL SYLLABLE IN
735,U+0718,ܘ,80,1.06098387e-07,Lo,letter,SYRIAC LETTER WAW
736,U+17D2,្,80,1.06098387e-07,Mn,other,KHMER SIGN COENG
737,U+5DDD,川,80,1.06098387e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-5DDD
738,U+6728,木,80,1.06098387e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-6728
739,U+751F,生,80,1.06098387e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-751F
740,U+C8FC,주,80,1.06098387e-07,Lo,letter,HANGUL SYLLABLE JU
741,U+1F525,🔥,80,1.06098387e-07,So,punct_or_symbol,FIRE
742,U+01D2,ǒ,79,1.04772158e-07,Ll,letter,LATIN SMALL LETTER O WITH CARON
743,U+021A,Ț,79,1.04772158e-07,Lu,letter,LATIN CAPITAL LETTER T WITH COMMA BELOW
744,U+0386,Ά,79,1.04772158e-07,Lu,letter,GREEK CAPITAL LETTER ALPHA WITH TONOS
745,U+3044,い,79,1.04772158e-07,Lo,letter,HIRAGANA LETTER I
746,U+793E,社,79,1.04772158e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-793E
747,U+D55C,한,79,1.04772158e-07,Lo,letter,HANGUL SYLLABLE HAN
748,U+0178,Ÿ,78,1.03445928e-07,Lu,letter,LATIN CAPITAL LETTER Y WITH DIAERESIS
749,U+0307,̇,78,1.03445928e-07,Mn,other,COMBINING DOT ABOVE
750,U+1D00,ᴀ,78,1.03445928e-07,Ll,letter,LATIN LETTER SMALL CAPITAL A
751,U+266D,♭,78,1.03445928e-07,So,punct_or_symbol,MUSIC FLAT SIGN
752,U+30ED,ロ,78,1.03445928e-07,Lo,letter,KATAKANA LETTER RO
753,U+53EF,可,78,1.03445928e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-53EF
754,U+9AD8,高,78,1.03445928e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-9AD8
755,U+AE30,기,78,1.03445928e-07,Lo,letter,HANGUL SYLLABLE GI
756,U+1090B,𐤋,78,1.03445928e-07,Lo,letter,PHOENICIAN LETTER LAMD
757,U+30A3,ィ,77,1.02119698e-07,Lo,letter,KATAKANA LETTER SMALL I
758,U+C815,정,77,1.02119698e-07,Lo,letter,HANGUL SYLLABLE JEONG
759,U+0419,Й,76,1.00793468e-07,Lu,letter,CYRILLIC CAPITAL LETTER SHORT I
760,U+091C,ज,76,1.00793468e-07,Lo,letter,DEVANAGARI LETTER JA
