lang,split,lines,chars,words,unique_chars,chars_per_line_mean,words_per_line_mean,min_rank_for_0_9990,min_rank_for_0_9995,min_rank_for_0_9999,letter_frac,number_frac,space_frac,punct_symbol_frac
tr,train,2719014,754017115,98245270,8777,277.31,36.13,121,194,667,0.82063,0.01928,0.12669,0.033356
tr,dev,151032,41792418,5443658,2940,276.71,36.04,120,193,685,0.820563,0.019314,0.126641,0.03344
tr,test,150909,41891840,5458822,2659,277.6,36.17,121,192,611,0.820529,0.019334,0.126705,0.033388
kk,train,808913,190092237,24296407,3344,235.0,30.04,91,103,216,0.813246,0.024707,0.123559,0.038396
kk,dev,44758,10572287,1352073,792,236.21,30.21,91,103,203,0.813604,0.024495,0.123655,0.038146
kk,test,44820,10370807,1326138,736,231.39,29.59,90,101,195,0.813325,0.024686,0.123551,0.038376
tt,train,1784281,261480404,35321840,2983,146.55,19.8,86,95,181,0.80687,0.025581,0.12826,0.039223
tt,dev,98860,14544354,1966130,829,147.12,19.89,87,97,218,0.806722,0.025565,0.128385,0.039232
tt,test,98913,14523921,1962331,780,146.84,19.84,87,95,187,0.806992,0.025434,0.1283,0.039211
