init_seed,fold,condition,train_script,vocab_size,las_mean,uas_mean,n_test_tokens
42,0,tt_only,normalized,16000,0.2505854800936768,0.351288056206089,427
42,1,tt_only,normalized,16000,0.19361702127659575,0.32127659574468087,470
42,2,tt_only,normalized,16000,0.293398533007335,0.4156479217603912,409
42,3,tt_only,normalized,16000,0.17718940936863545,0.28716904276985744,491
42,4,tt_only,normalized,16000,0.2484472049689441,0.3333333333333333,483
43,0,tt_only,normalized,16000,0.2459016393442623,0.3372365339578454,427
43,1,tt_only,normalized,16000,0.2404255319148936,0.3553191489361702,470
43,2,tt_only,normalized,16000,0.30317848410757947,0.4058679706601467,409
43,3,tt_only,normalized,16000,0.2240325865580448,0.31160896130346233,491
43,4,tt_only,normalized,16000,0.16977225672877846,0.2732919254658385,483
44,0,tt_only,normalized,16000,0.23185011709601874,0.3700234192037471,427
44,1,tt_only,normalized,16000,0.2957446808510638,0.3702127659574468,470
44,2,tt_only,normalized,16000,0.19559902200489,0.29584352078239606,409
44,3,tt_only,normalized,16000,0.20366598778004075,0.26476578411405294,491
44,4,tt_only,normalized,16000,0.17598343685300208,0.3084886128364389,483
45,0,tt_only,normalized,16000,0.24355971896955503,0.3395784543325527,427
45,1,tt_only,normalized,16000,0.2851063829787234,0.3723404255319149,470
45,2,tt_only,normalized,16000,0.2787286063569682,0.3545232273838631,409
45,3,tt_only,normalized,16000,0.15274949083503056,0.25661914460285135,491
45,4,tt_only,normalized,16000,0.11387163561076605,0.2236024844720497,483
46,0,tt_only,normalized,16000,0.2576112412177986,0.34192037470725994,427
46,1,tt_only,normalized,16000,0.11914893617021277,0.24893617021276596,470
46,2,tt_only,normalized,16000,0.29584352078239606,0.3960880195599022,409
46,3,tt_only,normalized,16000,0.15885947046843177,0.24439918533604887,491
46,4,tt_only,normalized,16000,0.2422360248447205,0.37267080745341613,483
42,0,transfer_tr,normalized,16000,0.28805620608899296,0.38173302107728335,427
42,1,transfer_tr,normalized,16000,0.2851063829787234,0.3617021276595745,470
42,2,transfer_tr,normalized,16000,0.2982885085574572,0.40097799511002447,409
42,3,transfer_tr,normalized,16000,0.18737270875763748,0.29124236252545826,491
42,4,transfer_tr,normalized,16000,0.2753623188405797,0.38716356107660455,483
43,0,transfer_tr,normalized,16000,0.2646370023419204,0.3793911007025761,427
43,1,transfer_tr,normalized,16000,0.28085106382978725,0.34893617021276596,470
43,2,transfer_tr,normalized,16000,0.28361858190709044,0.38141809290953543,409
43,3,transfer_tr,normalized,16000,0.23217922606924643,0.3136456211812627,491
43,4,transfer_tr,normalized,16000,0.10144927536231885,0.2236024844720497,483
44,0,transfer_tr,normalized,16000,0.26697892271662765,0.38173302107728335,427
44,1,transfer_tr,normalized,16000,0.24468085106382978,0.3680851063829787,470
44,2,transfer_tr,normalized,16000,0.2885085574572127,0.37897310513447435,409
