condition,las_mean,las_std,uas_mean,uas_std,k_folds,n_init_seeds,n_runs
tt_only,0.22185699182133095,0.046930644661188126,0.32420361742521847,0.05190282687544823,5.0,5.0,25.0
transfer_tr,0.25802161711762744,0.047229792922735214,0.3695513917826436,0.04726370796561241,5.0,5.0,25.0
transfer_tr_kk,0.23930748854303535,0.059059903025627136,0.3396063864170102,0.05538827180862427,5.0,5.0,25.0
transfer_tr_kk_tt,0.21157193424858445,0.057729460299015045,0.3200182400121139,0.05203508585691452,5.0,5.0,25.0
byte_fallback_bpe,0.22459501467792048,0.05588730797171593,0.31896618997878773,0.05767156928777695,5.0,5.0,25.0
