condition,las_mean,las_std,uas_mean,uas_std,k_folds,n_init_seeds,n_runs
tt_only,0.22388425680753454,0.05444486066699028,0.32608207546498086,0.052097734063863754,5.0,5.0,25.0
transfer_tr,0.25066899384298275,0.044318459928035736,0.34672189563390565,0.04250895604491234,5.0,5.0,25.0
transfer_tr_kk,0.2333786425115683,0.051546551287174225,0.3288409793153118,0.048711273819208145,5.0,5.0,25.0
transfer_tr_kk_tt,0.21996661328453432,0.05152489244937897,0.3237821934354577,0.0520920567214489,5.0,5.0,25.0
byte_fallback_bpe,0.24412020946657523,0.043467119336128235,0.3431584755008029,0.048533547669649124,5.0,5.0,25.0
