init_seed,fold,condition,train_script,vocab_size,las_mean,uas_mean,n_test_tokens
42,4,transfer_tr_kk,native,16000,0.19668737060041408,0.3064182194616977,483
43,0,transfer_tr_kk,native,16000,0.25526932084309134,0.33489461358313816,427
43,1,transfer_tr_kk,native,16000,0.2425531914893617,0.34893617021276596,470
43,2,transfer_tr_kk,native,16000,0.2787286063569682,0.36185819070904646,409
43,3,transfer_tr_kk,native,16000,0.2219959266802444,0.3340122199592668,491
43,4,transfer_tr_kk,native,16000,0.13250517598343686,0.22153209109730848,483
44,0,transfer_tr_kk,native,16000,0.28805620608899296,0.4379391100702576,427
44,1,transfer_tr_kk,native,16000,0.2957446808510638,0.39148936170212767,470
44,2,transfer_tr_kk,native,16000,0.34474327628361856,0.4229828850855746,409
44,3,transfer_tr_kk,native,16000,0.22606924643584522,0.3258655804480652,491
44,4,transfer_tr_kk,native,16000,0.17391304347826086,0.2919254658385093,483
45,0,transfer_tr_kk,native,16000,0.297423887587822,0.4098360655737705,427
45,1,transfer_tr_kk,native,16000,0.28085106382978725,0.3638297872340426,470
45,2,transfer_tr_kk,native,16000,0.30073349633251834,0.4083129584352078,409
45,3,transfer_tr_kk,native,16000,0.1894093686354379,0.2790224032586558,491
45,4,transfer_tr_kk,native,16000,0.10351966873706005,0.2111801242236025,483
46,0,transfer_tr_kk,native,16000,0.24355971896955503,0.3325526932084309,427
46,1,transfer_tr_kk,native,16000,0.2702127659574468,0.3595744680851064,470
46,2,transfer_tr_kk,native,16000,0.2396088019559902,0.3374083129584352,409
46,3,transfer_tr_kk,native,16000,0.2545824847250509,0.35234215885947046,491
46,4,transfer_tr_kk,native,16000,0.16149068322981366,0.2857142857142857,483
42,0,transfer_tr_kk_tt,native,16000,0.14988290398126464,0.26697892271662765,427
42,1,transfer_tr_kk_tt,native,16000,0.20212765957446807,0.32553191489361705,470
42,2,transfer_tr_kk_tt,native,16000,0.24938875305623473,0.33251833740831294,409
42,3,transfer_tr_kk_tt,native,16000,0.17718940936863545,0.27494908350305497,491
42,4,transfer_tr_kk_tt,native,16000,0.2795031055900621,0.36231884057971014,483
43,0,transfer_tr_kk_tt,native,16000,0.13348946135831383,0.2903981264637002,427
43,1,transfer_tr_kk_tt,native,16000,0.2723404255319149,0.35319148936170214,470
43,2,transfer_tr_kk_tt,native,16000,0.2860635696821516,0.39364303178484106,409
43,3,transfer_tr_kk_tt,native,16000,0.20773930753564154,0.3075356415478615,491
43,4,transfer_tr_kk_tt,native,16000,0.2629399585921325,0.3830227743271222,483
44,0,transfer_tr_kk_tt,native,16000,0.117096018735363,0.23185011709601874,427
44,1,transfer_tr_kk_tt,native,16000,0.25957446808510637,0.3617021276595745,470
44,2,transfer_tr_kk_tt,native,16000,0.2591687041564792,0.3594132029339853,409
44,3,transfer_tr_kk_tt,native,16000,0.17922606924643583,0.28105906313645623,491
44,4,transfer_tr_kk_tt,native,16000,0.2505175983436853,0.38095238095238093,483
45,0,transfer_tr_kk_tt,native,16000,0.22716627634660422,0.34894613583138173,427
45,1,transfer_tr_kk_tt,native,16000,0.24468085106382978,0.3468085106382979,470
45,2,transfer_tr_kk_tt,native,16000,0.24938875305623473,0.3643031784841076,409
45,3,transfer_tr_kk_tt,native,16000,0.2240325865580448,0.29327902240325865,491
45,4,transfer_tr_kk_tt,native,16000,0.13043478260869565,0.2546583850931677,483
46,0,transfer_tr_kk_tt,native,16000,0.13348946135831383,0.25526932084309134,427
46,1,transfer_tr_kk_tt,native,16000,0.25957446808510637,0.3872340425531915,470
46,2,transfer_tr_kk_tt,native,16000,0.28361858190709044,0.36185819070904646,409
46,3,transfer_tr_kk_tt,native,16000,0.11608961303462322,0.21181262729124237,491
46,4,transfer_tr_kk_tt,native,16000,0.13457556935817805,0.2712215320910973,483
42,0,byte_fallback_bpe,native,16000,0.2529274004683841,0.34660421545667447,427
42,1,byte_fallback_bpe,native,16000,0.2,0.3404255319148936,470
42,2,byte_fallback_bpe,native,16000,0.17359413202933985,0.25183374083129584,409
42,3,byte_fallback_bpe,native,16000,0.1384928716904277,0.19959266802443992,491
42,4,byte_fallback_bpe,native,16000,0.2815734989648033,0.37681159420289856,483
43,0,byte_fallback_bpe,native,16000,0.1873536299765808,0.3185011709601874,427
43,1,byte_fallback_bpe,native,16000,0.2723404255319149,0.35319148936170214,470
43,2,byte_fallback_bpe,native,16000,0.1687041564792176,0.24938875305623473,409
43,3,byte_fallback_bpe,native,16000,0.24032586558044808,0.3319755600814664,491
43,4,byte_fallback_bpe,native,16000,0.2318840579710145,0.32091097308488614,483
44,0,byte_fallback_bpe,native,16000,0.2646370023419204,0.3559718969555035,427
44,1,byte_fallback_bpe,native,16000,0.28297872340425534,0.3829787234042553,470
44,2,byte_fallback_bpe,native,16000,0.26894865525672373,0.34963325183374083,409
44,3,byte_fallback_bpe,native,16000,0.10183299389002037,0.19959266802443992,491
44,4,byte_fallback_bpe,native,16000,0.2650103519668737,0.37267080745341613,483
45,0,byte_fallback_bpe,native,16000,0.2857142857142857,0.3911007025761124,427
45,1,byte_fallback_bpe,native,16000,0.2702127659574468,0.35106382978723405,470
45,2,byte_fallback_bpe,native,16000,0.25183374083129584,0.3545232273838631,409
45,3,byte_fallback_bpe,native,16000,0.15478615071283094,0.23828920570264767,491
45,4,byte_fallback_bpe,native,16000,0.18426501035196688,0.2836438923395445,483
46,0,byte_fallback_bpe,native,16000,0.2857142857142857,0.3793911007025761,427
46,1,byte_fallback_bpe,native,16000,0.1829787234042553,0.2978723404255319,470
46,2,byte_fallback_bpe,native,16000,0.2982885085574572,0.36674816625916873,409
46,3,byte_fallback_bpe,native,16000,0.13238289205702647,0.22810590631364563,491
46,4,byte_fallback_bpe,native,16000,0.23809523809523808,0.3333333333333333,483
